sgx,sgy,sgz
-54.6875,-31.25,62.5
-54.6875,-31.25,70.3125
-54.6875,-31.25,78.125
-54.6875,-31.25,85.9375
-54.6875,-31.25,93.75
-54.6875,-31.25,101.5625
-54.6875,-31.25,109.375
-54.6875,-31.25,117.1875
-54.6875,-31.25,125.0
-54.6875,-31.25,132.8125
-54.6875,-23.4375,31.25
-54.6875,-23.4375,39.0625
-54.6875,-23.4375,46.875
-54.6875,-23.4375,54.6875
-54.6875,-23.4375,62.5
-54.6875,-23.4375,70.3125
-54.6875,-23.4375,78.125
-54.6875,-23.4375,85.9375
-54.6875,-23.4375,93.75
-54.6875,-23.4375,101.5625
-54.6875,-23.4375,109.375
-54.6875,-23.4375,117.1875
-54.6875,-23.4375,125.0
-54.6875,-15.625,23.4375
-54.6875,-15.625,31.25
-54.6875,-15.625,39.0625
-54.6875,-15.625,46.875
-54.6875,-15.625,54.6875
-54.6875,-15.625,62.5
-54.6875,-15.625,70.3125
-54.6875,-15.625,78.125
-54.6875,-15.625,85.9375
-54.6875,-15.625,93.75
-54.6875,-15.625,101.5625
-54.6875,-7.8125,31.25
-54.6875,-7.8125,39.0625
-54.6875,-7.8125,46.875
-54.6875,-7.8125,54.6875
-54.6875,-7.8125,62.5
-54.6875,-7.8125,70.3125
-54.6875,-7.8125,78.125
-54.6875,0.0,46.875
-54.6875,0.0,54.6875
-46.875,-78.125,156.25
-46.875,-70.3125,148.4375
-46.875,-70.3125,156.25
-46.875,-62.5,148.4375
-46.875,-54.6875,132.8125
-46.875,-54.6875,140.625
-46.875,-54.6875,148.4375
-46.875,-46.875,125.0
-46.875,-46.875,132.8125
-46.875,-46.875,140.625
-46.875,-39.0625,54.6875
-46.875,-39.0625,62.5
-46.875,-39.0625,70.3125
-46.875,-39.0625,78.125
-46.875,-39.0625,85.9375
-46.875,-39.0625,93.75
-46.875,-39.0625,101.5625
-46.875,-39.0625,109.375
-46.875,-39.0625,117.1875
-46.875,-39.0625,125.0
-46.875,-39.0625,132.8125
-46.875,-39.0625,140.625
-46.875,-31.25,31.25
-46.875,-31.25,39.0625
-46.875,-31.25,46.875
-46.875,-31.25,54.6875
-46.875,-31.25,62.5
-46.875,-31.25,70.3125
-46.875,-31.25,78.125
-46.875,-31.25,85.9375
-46.875,-31.25,93.75
-46.875,-31.25,101.5625
-46.875,-31.25,109.375
-46.875,-31.25,117.1875
-46.875,-31.25,125.0
-46.875,-23.4375,15.625
-46.875,-23.4375,23.4375
-46.875,-23.4375,31.25
-46.875,-23.4375,39.0625
-46.875,-23.4375,46.875
-46.875,-23.4375,54.6875
-46.875,-23.4375,62.5
-46.875,-23.4375,70.3125
-46.875,-23.4375,78.125
-46.875,-23.4375,85.9375
-46.875,-23.4375,93.75
-46.875,-23.4375,101.5625
-46.875,-23.4375,109.375
-46.875,-23.4375,117.1875
-46.875,-15.625,7.8125
-46.875,-15.625,15.625
-46.875,-15.625,23.4375
-46.875,-15.625,31.25
-46.875,-15.625,39.0625
-46.875,-15.625,46.875
-46.875,-15.625,54.6875
-46.875,-15.625,62.5
-46.875,-15.625,70.3125
-46.875,-15.625,78.125
-46.875,-15.625,85.9375
-46.875,-15.625,93.75
-46.875,-7.8125,15.625
-46.875,-7.8125,23.4375
-46.875,-7.8125,31.25
-46.875,-7.8125,39.0625
-46.875,-7.8125,46.875
-46.875,-7.8125,54.6875
-46.875,-7.8125,62.5
-46.875,-7.8125,70.3125
-46.875,0.0,31.25
-46.875,0.0,39.0625
-46.875,0.0,46.875
-46.875,0.0,54.6875
-39.0625,-93.75,156.25
-39.0625,-85.9375,156.25
-39.0625,-78.125,148.4375
-39.0625,-70.3125,148.4375
-39.0625,-62.5,140.625
-39.0625,-62.5,148.4375
-39.0625,-54.6875,117.1875
-39.0625,-54.6875,125.0
-39.0625,-54.6875,132.8125
-39.0625,-54.6875,140.625
-39.0625,-54.6875,148.4375
-39.0625,-46.875,78.125
-39.0625,-46.875,85.9375
-39.0625,-46.875,93.75
-39.0625,-46.875,101.5625
-39.0625,-46.875,109.375
-39.0625,-46.875,117.1875
-39.0625,-46.875,125.0
-39.0625,-46.875,132.8125
-39.0625,-46.875,140.625
-39.0625,-39.0625,54.6875
-39.0625,-39.0625,62.5
-39.0625,-39.0625,70.3125
-39.0625,-39.0625,78.125
-39.0625,-39.0625,85.9375
-39.0625,-39.0625,93.75
-39.0625,-39.0625,101.5625
-39.0625,-39.0625,109.375
-39.0625,-39.0625,117.1875
-39.0625,-39.0625,125.0
-39.0625,-39.0625,132.8125
-39.0625,-31.25,39.0625
-39.0625,-31.25,46.875
-39.0625,-31.25,54.6875
-39.0625,-31.25,62.5
-39.0625,-31.25,70.3125
-39.0625,-31.25,78.125
-39.0625,-31.25,85.9375
-39.0625,-31.25,93.75
-39.0625,-31.25,101.5625
